lambdaa,%T
2117,99.5845871
2116,99.57198334
2115,99.57520294
2114,99.54367065
2113,99.54483795
2112,99.57702637
2111,99.55432129
2110,99.54804993
2109,99.51407623
2108,99.52353668
2107,99.47431946
2106,99.47475433
2105,99.46281433
2104,99.42308044
2103,99.39916992
2102,99.39013672
2101,99.36316681
2100,99.35396576
2099,99.32914734
2098,99.29325104
2097,99.28904724
2096,99.27952576
2095,99.27344513
2094,99.20671844
2093,99.19865417
2092,99.19794464
2091,99.18752289
2090,99.20545959
2089,99.20331573
2088,99.17469788
2087,99.16815948
2086,99.16403961
2085,99.10549164
2084,99.16475677
2083,99.13947296
2082,99.17037964
2081,99.1682663
2080,99.12733459
2079,99.16443634
2078,99.15666199
2077,99.20101166
2076,99.27059174
2075,99.20291138
2074,99.24006653
2073,99.2614975
2072,99.27561188
2071,99.23960114
2070,99.25000763
2069,99.28731537
2068,99.27175903
2067,99.31162262
2066,99.28513336
2065,99.34159851
2064,99.3469696
2063,99.32380676
2062,99.33470154
2061,99.34132385
2060,99.34481049
2059,99.37345886
2058,99.32495117
2057,99.34936523
2056,99.32779694
2055,99.39503479
2054,99.36700439
2053,99.35618591
2052,99.35002136
2051,99.38185883
2050,99.42874908
2049,99.37143707
2048,99.39129639
2047,99.39901733
2046,99.41519928
2045,99.41751099
2044,99.42739105
2043,99.42192078
2042,99.40576935
2041,99.34653473
2040,99.35176086
2039,99.34983826
2038,99.31306458
2037,99.32556152
2036,99.24794006
2035,99.27617645
2034,99.27636719
2033,99.21110535
2032,99.24157715
2031,99.14325714
2030,99.1572113
2029,99.12239838
2028,99.11476135
2027,99.05557251
2026,98.99569702
2025,98.88780975
2024,98.84231567
2023,98.78000641
2022,98.67089844
2021,98.5402832
2020,98.38733673
2019,98.21960449
2018,98.01210785
2017,97.65050507
2016,97.317276
2015,96.90209961
2014,96.29016876
2013,95.68850708
2012,94.96038055
2011,93.99715424
2010,92.91404724
2009,91.67398071
2008,90.20420074
2007,88.54116058
2006,86.71380615
2005,84.58751678
2004,82.15098572
2003,79.71612549
2002,76.96782684
2001,73.99364471
2000,70.92572021
1999,67.77796173
1998,64.44550323
1997,61.04178619
1996,57.79253387
1995,54.39670563
1994,51.08348083
1993,47.94623947
1992,44.78456497
1991,41.73344803
1990,38.99857712
1989,36.27549744
1988,33.68849945
1987,31.33348274
1986,29.0273304
1985,26.858675
1984,24.89910889
1983,23.12626076
1982,21.41018295
1981,19.84623337
1980,18.42543411
1979,17.04054832
1978,15.74994183
1977,14.63053703
1976,13.56253052
1975,12.5808897
1974,11.70920467
1973,10.91812038
1972,10.19893074
1971,9.449744225
1970,8.749425888
1969,8.082626343
1968,7.468986511
1967,6.914194107
1966,6.371471882
1965,5.879489899
1964,5.452251911
1963,5.028664112
1962,4.633443356
1961,4.286906719
1960,3.944285154
1959,3.630897522
1958,3.351549387
1957,3.087590933
1956,2.837597609
1955,2.613933086
1954,2.40348196
1953,2.205204725
1952,2.027038574
1951,1.865210056
1950,1.713870525
1949,1.570380807
1948,1.445003986
1947,1.322013855
1946,1.211945415
1945,1.116308212
1944,1.024105549
